base_code,SP,TCT,ST,DG,K,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_K,cumulative_frac_diff_K
AA,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.33832,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472,-0.2726161512011472
AI,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-0.67664,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944,-0.2726161512011472,-0.5452323024022944
AP,13.89528,15.27506082477591,15.27506082477591,15.27506082477591,15.27506082477591,-0.33832,-1.01496,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416,-0.2726161512011472,-0.8178484536034416
AB,13.89528,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.33832,-1.35328,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513,-0.3065538135388096,-1.1244022671422513
AG,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.66916,-2.02244,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061,-0.3065538135388096,-1.430956080681061
AJ,13.89528,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.33832,-2.36076,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708,-0.3065538135388096,-1.7375098942198708
AS,13.89528,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.33832,-2.69908,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805,-0.3065538135388096,-2.0440637077586805
AX,6.947640000000001,14.562369915684998,14.562369915684998,14.562369915684998,14.562369915684998,-0.66916,-3.36824,-0.3065538135388096,-2.3506175212974902,-0.3065538135388096,-2.3506175212974902,-0.3065538135388096,-2.3506175212974902,-0.3065538135388096,-2.3506175212974902
AC,13.89528,13.914469089238722,13.914469089238722,13.914469089238722,13.914469089238722,-0.33832,-3.70656,-0.33740623384577517,-2.6880237551432655,-0.33740623384577517,-2.6880237551432655,-0.33740623384577517,-2.6880237551432655,-0.33740623384577517,-2.6880237551432655
AD,6.947640000000001,7.527579915685001,13.914469089238722,13.914469089238722,13.914469089238722,-0.66916,-4.37572,-0.6415438135388095,-3.329567568682075,-0.33740623384577517,-3.025429988989041,-0.33740623384577517,-3.025429988989041,-0.33740623384577517,-3.025429988989041
AH,0.0,13.914469089238722,7.527579915685001,7.527579915685001,13.914469089238722,-1.0,-5.37572,-0.33740623384577517,-3.6669738025278504,-0.6415438135388095,-3.6669738025278504,-0.6415438135388095,-3.6669738025278504,-0.33740623384577517,-3.362836222834816
AK,13.89528,13.914469089238722,13.914469089238722,13.914469089238722,13.914469089238722,-0.33832,-5.714040000000001,-0.33740623384577517,-4.004380036373625,-0.33740623384577517,-4.004380036373625,-0.33740623384577517,-4.004380036373625,-0.33740623384577517,-3.7002424566805914
AL,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-6.3832,-0.6723962338457754,-4.676776270219401,-0.6723962338457754,-4.676776270219401,-0.6723962338457754,-4.676776270219401,-0.6723962338457754,-4.372638690526367
AN,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-7.05236,-0.6723962338457754,-5.3491725040651765,-0.6723962338457754,-5.3491725040651765,-0.6723962338457754,-5.3491725040651765,-0.6723962338457754,-5.045034924372143
AQ,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-7.72152,-0.6723962338457754,-6.021568737910952,-0.6723962338457754,-6.021568737910952,-0.6723962338457754,-6.021568737910952,-0.6723962338457754,-5.717431158217918
AV,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-8.39068,-0.6723962338457754,-6.693964971756728,-0.6723962338457754,-6.693964971756728,-0.6723962338457754,-6.693964971756728,-0.6723962338457754,-6.389827392063694
AY,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-9.05984,-0.6723962338457754,-7.366361205602503,-0.6723962338457754,-7.366361205602503,-0.6723962338457754,-7.366361205602503,-0.6723962338457754,-7.0622236259094695
BA,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-9.729,-0.6723962338457754,-8.038757439448279,-0.6723962338457754,-8.038757439448279,-0.6723962338457754,-8.038757439448279,-0.6723962338457754,-7.734619859755245
BD,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-10.398159999999999,-0.6723962338457754,-8.711153673294055,-0.6723962338457754,-8.711153673294055,-0.6723962338457754,-8.711153673294055,-0.6723962338457754,-8.40701609360102
BE,6.947640000000001,6.879679089238718,6.879679089238718,6.879679089238718,6.879679089238718,-0.66916,-11.067319999999999,-0.6723962338457754,-9.38354990713983,-0.6723962338457754,-9.38354990713983,-0.6723962338457754,-9.38354990713983,-0.6723962338457754,-9.079412327446796
AE,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918,-1.0,-12.067319999999999,-1.0,-10.38354990713983,-0.7004438886702896,-10.08399379581012,-0.7004438886702896,-10.08399379581012,-0.7004438886702896,-9.779856216117086
AM,0.0,0.0,6.290678337923918,6.290678337923918,6.290678337923918,-1.0,-13.067319999999999,-1.0,-11.38354990713983,-0.7004438886702896,-10.784437684480409,-0.7004438886702896,-10.784437684480409,-0.7004438886702896,-10.480300104787375
AT,6.947640000000001,6.290678337923918,6.290678337923918,6.290678337923918,6.290678337923918,-0.66916,-13.736479999999998,-0.7004438886702896,-12.08399379581012,-0.7004438886702896,-11.484881573150698,-0.7004438886702896,-11.484881573150698,-0.7004438886702896,-11.180743993457664
AZ,0.0,6.290678337923918,0.0,0.0,6.290678337923918,-1.0,-14.736479999999998,-0.7004438886702896,-12.784437684480409,-1.0,-12.484881573150698,-1.0,-12.484881573150698,-0.7004438886702896,-11.881187882127954
BB,6.947640000000001,6.290678337923918,6.290678337923918,6.290678337923918,6.290678337923918,-0.66916,-15.405639999999998,-0.7004438886702896,-13.484881573150698,-0.7004438886702896,-13.185325461820987,-0.7004438886702896,-13.185325461820987,-0.7004438886702896,-12.581631770798243
AF,0.0,0.0,5.755223109455917,5.755223109455917,5.755223109455917,-1.0,-16.40564,-1.0,-14.484881573150698,-0.7259417566925753,-13.911267218513563,-0.7259417566925753,-13.911267218513563,-0.7259417566925753,-13.307573527490819
AW,6.947640000000001,5.755223109455917,5.755223109455917,5.755223109455917,5.755223109455917,-0.66916,-17.0748,-0.7259417566925753,-15.210823329843274,-0.7259417566925753,-14.63720897520614,-0.7259417566925753,-14.63720897520614,-0.7259417566925753,-14.033515284183395
BC,6.947640000000001,5.755223109455917,5.755223109455917,5.755223109455917,5.755223109455917,-0.66916,-17.74396,-0.7259417566925753,-15.93676508653585,-0.7259417566925753,-15.363150731898715,-0.7259417566925753,-15.363150731898715,-0.7259417566925753,-14.75945704087597
AO,0.0,0.0,0.0,0.0,0.0,-1.0,-18.74396,-1.0,-16.93676508653585,-1.0,-16.363150731898713,-1.0,-16.363150731898713,-1.0,-15.75945704087597
AU,0.0,0.0,0.0,0.0,0.0,-1.0,-19.74396,-1.0,-17.93676508653585,-1.0,-17.363150731898713,-1.0,-17.363150731898713,-1.0,-16.759457040875972
AR,0.0,0.0,0.0,0.0,0.0,-1.0,-20.74396,-1.0,-18.93676508653585,-1.0,-18.363150731898713,-1.0,-18.363150731898713,-1.0,-17.759457040875972
